Fostick, Leah;Leah Fostick;Ariel University
Lynch, Megan;Megan Lynch;Vanderbilt University
Cannon, Jonathan J;Jonathan J Cannon;Meridian Academy
Patel, Ani;Ani Patel;Tufts University
Loui, Psyche;Psyche Loui;Northeastern
Marchiano, María;María Marchiano;Laboratorio para el Estudio de la Experiencia Musical, Universidad Nacional de La Plata
Martinez, Isabel Cecilia;Isabel Cecilia Martinez;Laboratorio para el Estudio de la Experiencia Musical, Universidad Nacional de La Plata
Vuvan, Dominique T.;Dominique T. Vuvan;Skidmore College & International Laboratory for Brain, Music, and Sound Research
Hughes, Bryn;Bryn Hughes;The University of Lethbridge
Fisher, Nina;Nina Fisher;The University of Edinburgh
Hadley, Lauren;Lauren Hadley;The Univeristy of Edinburgh
Pickering, Martin;Martin Pickering;The University of Edinburgh
Maimon, Neta;Neta Maimon;Tel Aviv University
Lamy, Dominique;Dominique Lamy;Tel Aviv University
Wilson, Courtney A;Courtney A Wilson;Texas State University
Graham, Reiko;Reiko Graham;Texas State University 
Kasdan, Anna V;Anna V Kasdan;Vanderbilt University 
Michalareas, Georgios;Georgios Michalareas;Max Planck Institute for Empirical Aesthetics
Rowland, Jess;Jess Rowland;New York University
Davidesco, Ido;Ido Davidesco;New York University
Poeppel, David;David Poeppel;New York University and Max Planck Institute for Empirical Aesthetics
Dikker, Suzanne;Suzanne Dikker;New York University and Utrecht University 
Prete, David;David Prete;McMaster University 
Helmer, Karl G;Karl G Helmer;Massachusetts General Hospital
Preciado, Ronny;Ronny Preciado;Massachusetts General Hospital
Falco, Richard;Richard Falco;Worcester Polytechnic Institute
Bianchi, Frederick;Frederick Bianchi;Worcester Polytechnic Institute
Carrillo, Chantal;Chantal Carrillo;McMaster University
Chang, Andrew;Andrew Chang;McMaster University
Li, Yao-Chuen;Yao-Chuen Li;China Medical University
Chan, Jennifer;Jennifer Chan;University of Toronto
Cairney, John;John Cairney;University of Toronto
Trainor, Laurel;Laurel Trainor;McMaster University
Miller, Natalie;Natalie Miller;The University of Texas at Austin
Saarikallio, Suvi H;Suvi H Saarikallio;University of Jyväskylä
Luck, Geoff;Geoff Luck;University of Jyväskylä
Hakula, Laura;Laura Hakula;University of Jyväskylä
Vallius, Linnea;Linnea Vallius;University of Jyväskylä
Heng, Gladys;Gladys Heng;Nanyang Technological University
Wahab, Nur Diyanah Abdul;Nur Diyanah Abdul Wahab;Nanyang Technological University
Chen, Annabel;Annabel Chen;Nanyang Technological University
Cheung, Vincent KM;Vincent KM Cheung;Max Planck Institute for Human Cognitive and Brain Sciences
Harrison, Peter;Peter Harrison;Queen Mary University of London
Meyer, Lars;Lars Meyer;Max Planck Institute for Human Cognitive and Brain Sciences
Haynes, John-Dylan;John-Dylan Haynes;Bernstein Center for Computational Neuroscience
Koelsch, Stefan;Stefan Koelsch;University of Bergen
Bannister, Scott;Scott Bannister;Department of Music, Durham University, United Kingdom
Lee, Kyung Myun;Kyung Myun Lee;KAIST
Câmara, Guilherme S;Guilherme S Câmara;University of Oslo
Danielsen, Anne;Anne Danielsen;University of Oslo
Nymoen, Kristian;Kristian Nymoen;University of Oslo
Temperley, David;David Temperley;Eastman School of Music
Warburton, Wayne;Wayne Warburton;Macquarie University
Powell, Merrick;Merrick Powell;Macquarie University
Hutchins, Sean;Sean Hutchins;The Royal Conservatory
Larrouy-Maestri, Pauline;Pauline Larrouy-Maestri;Max-Planck-Institute for Empirical Aesthetics
Huan, Shi En Gloria;Shi En Gloria Huan;University at Buffalo, SUNY
Pfordresher, Peter;Peter Pfordresher;University at Buffalo, SUNY
Kim, Ji Chul;Ji Chul Kim;University of Connecticut
Park, Se-Woong;Se-Woong Park;Northeastern University
Sternad, Dagmar;Dagmar Sternad;Northeastern University
Large, Ed;Ed Large;University of Connecticut
Noble, Jason;Jason Noble;McGill University
McAdams, Stephen;Stephen McAdams;McGill University
Bonin, Tanor;Tanor Bonin;McGill University
Schutz, Mike;Mike Schutz;McMaster University
Sears, David;David Sears;Texas Tech University
Forrest, David;David Forrest;Texas Tech University
Gudmundsdottir, Helga R;Helga R Gudmundsdottir;University of Iceland
Rosen, David S;David S Rosen;Stockton University
Begel, Valentin;Valentin Begel;Université de Lille
Bachrach, Asaf;Asaf Bachrach;Centre national de la recherche scientifique
Bella, Simone Dalla;Simone Dalla Bella;University of Montreal
Laroche, Julien;Julien Laroche;Centre national de la recherche scientifique
Clément, Sylvain;Sylvain Clément;Université de Lille
Delval, Arnaud;Arnaud Delval;CHU Lille
Riquet, Audrey;Audrey Riquet;CHU Lille
Dellacherie, Delphine;Delphine Dellacherie;Université de Lille
Vessel, Edward;Edward Vessel;Max Planck Institute for Empirical Aesthetics
Bruder, Camila;Camila Bruder;Max Planck Institute for Empirical Aesthetics
Rogers, Susan;Susan Rogers;Berklee College of Music
Poeppel, David;David Poeppel;New York University
Teng, Xiangbin;Xiangbin Teng;Max Planck Institute for Empirical Aesthetics
Kayser, Diana;Diana Kayser;University of York
Egermann, Hauke;Hauke Egermann;University of York
Greenspon, Emma B;Emma B Greenspon;University at Buffalo
Zuk, Nathaniel J;Nathaniel J Zuk;Trinity College Dublin
Steinhauer, Grant;Grant Steinhauer;Tufts University
Setzler, Matthew;Matthew Setzler;Indiana University
Golstone, Robert;Robert Golstone;Indiana University
Sioros, George;George Sioros;University of Oslo
Madison, Guy;Guy Madison;University of Umå, Department of Psychology
Cocharro, Diogo;Diogo Cocharro;INESC-TEC
Gouyon, Fabien;Fabien Gouyon;INESC-TEC
Schaal, Nora;Nora Schaal;Heinrich Heine University
Hepp, Philip;Philip Hepp;Clinic for Gynecology and Obstetrics, HELIOS University Hospital Wuppertal
Hess, Lucas J;Lucas J Hess;Texas Tech University
Martens, Peter A;Peter A Martens;Texas Tech University
Percival, Hannah;Hannah Percival;Texas Tech University
Baker, David J;David J Baker;Louisiana State University
Fogel, Allison R;Allison R Fogel;Tufts University
Morgan, Emily;Emily Morgan;University of California, Davis
Kuperberg, Gina;Gina Kuperberg;Tufts University
Trevor, Caitlyn;Caitlyn Trevor;Ohio State University
Huron, David;David Huron;Ohio State University
Feth, Larry;Larry Feth;Ohio State University
Arnal, Luc;Luc Arnal;Université de Genève
Perez, Priscilla;Priscilla Perez;University of Southern California
Wood, Alison;Alison Wood;University of Southern California
Habibi, Assal;Assal Habibi;University of Southern California
Weiss, Michael;Michael Weiss;BRAMS, University of Montreal
Peretz, Isabelle;Isabelle Peretz;University of Montreal
Casey, Michael A.;Michael A. Casey;Dartmouth College
Mentch, Jefferey;Jefferey Mentch;Massachusetts Institute of Technology
Braus, Ira L;Ira L Braus;Hartt School/University of Hartford
Harrison, Elinor C;Elinor C Harrison;Washington University in St. Louis
Horin, Adam P;Adam P Horin;Washington University in St. Louis
Earhart, Gammon;Gammon Earhart;Washington University in St. Louis
Myers, Peter;Peter Myers;Washington University in St. Louis
McNeely, Marie;Marie McNeely;Unfold Productions, LLC
Rawson, Kerri;Kerri Rawson;Washington University in St. Louis
Sutter, Ellen N;Ellen N Sutter;University of Minnesota
Podolak, Olivia M;Olivia M Podolak;University of Toronto Scarborough
